Game,Status,Platform,Emulator
Final Fantasy Tactics A2: Grimoire of the Rift,Stable,DS,melonDS
Final Fantasy Tactics Advance,Stable,GBA,BizHawk
Final Fantasy Tactics: Ivalice Island,Stable,GBA,BizHawk
Final Fantasy XII: Open World,Stable,PS2,PCSX2
Final Fantasy XII: Trial Mode,Stable,PS2,PCSX2
Final Fantasy XIII - Lightning Returns,Unstable,PC,
Fire Emblem: The Sacred Stones,Stable,GBA,BizHawk
Flipwitch,APWorld Only,PC,
FNAF World,Stable,PC,
The Forged Curse,Unstable,PC,
Freddy Fazbear's Pizzeria Simulator,Unstable,PC,
Freedom Planet 2,Unstable,PC,
Friday Night Funkin',Unstable,PC,
Frogmonster,Stable,NES,BizHawk
Garfield Kart: Furious Racing,Stable,PC,
Gato Roboto,Stable,PC,
Gato Roboto B-Side,Unstable,PC,
Gauntlet Legends,In Review,N64,BizHawk
Getting Over It with Bennett Foddy,Stable,PC,
Glover,In Review,N64,BizHawk
GLYPHS,Stable,PC,
Golden Sun: The Lost Age,Stable,GBA,BizHawk
Grim Dawn,Stable,PC,
The Grinch,Stable,PS1,DuckStation
The Guardian Legend,APWorld Only,NES,BizHawk
Guild Wars 2,Stable,PC,
GZDoom,Stable,PC,
Hacknet,Unstable,PC,
Hades,In Review,PC,
Hammerwatch,Stable,PC,
Haste,Index Only,PC,
HASTE: Broken Worlds,Unstable,PC,
Hatsune Miku: Project Diva Megamix+,Stable,PC,
Here Comes Niko!,Stable,PC,
Heretic,Official,PC,
Hero Core,Unstable,PC,
Hexcells Infinite,In Review,PC,
Hi-Fi Rush,Unstable,PC,
HITMAN: World of Assassination,Unstable,PC,
Hollow Knight,Official,PC,
Hollow Knight - Beta APWorld,Stable,PC,
holo8,Unstable,PC,
Hololive Treasure Mountain,Unstable,PC,
Huniecam Studio,Unstable,PC,
Huniepop,APWorld Only,PC,
Huniepop 2: Double Date,APWorld Only,PC,
Hylics 2,Official,PC,
HyperRogue,Unstable,PC,
I Was A Teenage Exocolonist,Unstable,PC,
ICEwall,Unstable,PC,
Iji,Stable,PC,
